type,species,n
Aquatic,filamentous_algae,28
Aquatic,macrophyte,53
Aquatic,periphyton,37
Detritus,coarse_detritus,43
Detritus,fine_detritus,6
Fish,A.mexicanus,29
Fish,A.natalis,8
Fish,A.rostrata,1
Fish,A.sayanus,1
Fish,C.lutrensis,32
Fish,C.variegatus,17
Fish,C.venusta,11
Fish,D.cepedianum,1
Fish,D.maculatus,4
Fish,E.gracile,3
Fish,F.chrysotus,4
Fish,F.grandis,19
Fish,F.notatus,5
Fish,G.affinis,96
Fish,G.dormitor,1
Fish,H.cyanoguttatus,69
Fish,I.punctatus,10
Fish,L.auritus,30
Fish,L.cyanellus,81
Fish,L.gulosus,36
Fish,L.humilis,3
Fish,L.hybrid,10
Fish,L.macrochirus,136
Fish,L.megalotis,127
Fish,L.microlophus,9
Fish,L.miniatus,16
Fish,L.oculatus,11
Fish,M.cephalus,6
Fish,M.salmoides,36
Fish,N.gyrinus,5
Fish,N.texanus,4
Fish,O.aureus,18
Fish,P.clarkii,6
Fish,P.formosa,15
Fish,P.latipinna,83
Fish,P.vigilax,1
Invertebrate,aeshnid,4
Invertebrate,baetid,21
Invertebrate,belastomatid,8
Invertebrate,caenid,7
Invertebrate,calopterygid,1
Invertebrate,cambarid,40
Invertebrate,chironomid,34
Invertebrate,coenagrionid,48
Invertebrate,corbicula,3
Invertebrate,corduliid,6
Invertebrate,csapidus,1
Invertebrate,culicid,1
Invertebrate,cyrenid,3
Invertebrate,dysticid,4
Invertebrate,elmid,17
Invertebrate,erpobdellid,6
Invertebrate,gerrid,3
Invertebrate,gomphid,14
Invertebrate,grapsid,2
Invertebrate,gyrinid,5
Invertebrate,haliplid,11
Invertebrate,heptageniid,2
Invertebrate,hirvdinid,2
Invertebrate,hyalellid,56
Invertebrate,hydrophilid,4
Invertebrate,Hydropsychid,10
Invertebrate,leptocerid,2
Invertebrate,lestid,1
Invertebrate,Libellulid,8
Invertebrate,macrobrachium,10
Invertebrate,melanoides,5
Invertebrate,mysid,2
Invertebrate,naucorid,3
Invertebrate,nepid,5
Invertebrate,p.clarkii,6
Invertebrate,palaemonid,25
Invertebrate,physid,26
Invertebrate,planorbid,8
Invertebrate,scirtid,9
Invertebrate,simaliid,1
Invertebrate,staphylinid,2
Invertebrate,stenelmis,4
Invertebrate,stratiomyid,3
Invertebrate,tanyponid,4
Invertebrate,thiarid,9
Invertebrate,velliid,17
Terrestrial,clover,1
Terrestrial,coarse_detritus,15
Terrestrial,grass,17
Terrestrial,mix_tv,14
Terrestrial,tree_leaf,18
